Eisean	Pron:Pers:3P:Sg:Masc:Emph	eisean
gairdeasa	Noun:Masc:Gen:Sg	gairdeas
faoi	Pron:Prep:3P:Sg:Masc	faoi
,	Punct:Int	,
faoina	Prep:Poss:3P:Sg:Masc	faoi
fhásra	Noun:Masc:Com:Sg:Len	fásra
bláthanna	Noun:Masc:Gen:Strong:Pl	bláth
,	Punct:Int	,
faoina	Prep:Poss:3P:Sg:Masc	faoi
fhásra	Noun:Masc:Com:Sg:Len	fásra
luachra	Noun:Fem:Gen:Sg	luachair
is	Conj:Coord	agus
féir	Noun:Masc:Gen:Sg	féar
,	Punct:Int	,
faoina	Prep:Poss:3P:Sg:Masc	faoi
sheileastram	Noun:Masc:Com:Sg	sheileastram
,	Punct:Int	,
bhí	Verb:PastInd:Len	bí
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
líonta	Verbal:Adj	líonta
isteach	Adv:Dir	isteach
.	Punct:Fin	.
'	Punct:Quo	'
Dadaí	Noun:Masc:Com:Sg	dadaí
'	Punct:Quo	'
agus	Conj:Coord	agus
'	Punct:Quo	'
Mamaí	Noun:Fem:Com:Sg	mamaí
'	Punct:Quo	'
seachas	Prep:Simp	seachas
'	Punct:Quo	'
mo	Det:Poss:1P:Sg	mo
dheaide	Noun:Fem:Com:Sg	dheaide
'	Punct:Quo	'
agus	Conj:Coord	agus
'	Punct:Quo	'
mo	Det:Poss:1P:Sg	mo
mhaime	Noun:Fem:Gen:Sg:Len	mam
'	Punct:Quo	'
a	Part:Vb:Rel:Direct	a
thugaidís	Verb:VTI:PastImp:3P:Pl:Len	tabhair
ar	Prep:Simp	ar
a	Det:Poss:3P:Pl	a
n-athair	Noun:Masc:Com:Sg:Ecl	athair
agus	Conj:Coord	agus
a	Det:Poss:3P:Pl	a
máthair	Noun:Fem:Com:Sg:Ecl	máthair
.	Punct:Fin	.
Rinneadh	Verb:VTI:PastInd:Auto	déan
iad	Pron:Pers:3P:Pl	iad
i	Prep:Simp	i
neamhchead	Subst:Noun:Sg	neamhchead
na	Art:Pl:Def	na
n-othar	Noun:Masc:Gen:Weak:Pl:DefArt	othar
agus	Conj:Coord	agus
de	Prep:Simp	de
ghnáth	Noun:Masc:Com:Sg:Len	gnáth
gan	Prep:Simp	gan
iarracht	Noun:Fem:Com:Sg	iarracht
ar	Prep:Simp	ar
bith	Subst:Noun:Sg	bith
pian	Noun:Fem:Com:Sg	pian
a	Part:Inf	a
cheansú	Verbal:Noun:VT:Len	ceansú
agus	Conj:Coord	agus
go	Part:Ad	go
minic	Adj:Base	minic
bhí	Verb:PastInd:Len	bí
bas	Noun:Fem:Com:Sg	bas
an	Art:Sg:Def	an
othair	Noun:Masc:Gen:Sg:DefArt	othar
mar	Prep:Simp	mar
thoradh	Noun:Masc:Com:Sg:Len	toradh
ar	Prep:Simp	ar
an	Art:Sg:Def	an
turgnamh	Noun:Masc:Com:Sg:DefArt	turgnamh
.	Punct:Fin	.
Rinneadh	Verb:VTI:PastInd:Auto	déan
ball	Noun:Masc:Com:Sg	ball
de	Prep:Simp	de
de	Part:Pat	de
Rafiq	Prop:Noun:Masc:Com:Sg	Rafiq
Mottiar	Prop:Noun:Masc:Com:Sg	Mottiar
sa	Prep:Art:Sg	i
bhliain	Noun:Fem:Com:Sg:DefArt	bliain
1965	Num:Dig	1965
agus	Conj:Coord	agus
riamh	Adv:Gn	riamh
i	Prep:Simp	i
leith	Noun:Fem:Com:Sg	leith
,	Punct:Int	,
tá	Verb:PresInd	bí
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
ag	Prep:Simp	ag
obair	Verbal:Noun:NStem	obair
ar	Prep:Simp	ar
son	Subst:Noun:Sg	son
saoirse	Noun:Fem:Gen:Sg	saoirse
san	Prep:Art:Sg	i
Afraic	Prop:Noun:Fem:Com:Sg:DefArt	Afraic
Theas	Adv:Dir	theas
.	Punct:Fin	.
Má	Conj:Subord	má
bhíonn	Verb:PresImp:Len	bí
súil	Noun:Fem:Com:Sg	súil
ag	Prep:Simp	ag
an	Art:Sg:Def	an
saol	Noun:Masc:Com:Sg	saol
ar	Prep:Simp	ar
eachtraí	Noun:Fem:Com:Pl	eachtra
,	Punct:Int	,
nó	Conj:Coord	nó
má	Conj:Subord	má
bhíonn	Verb:PresImp:Len	bí
an	Art:Sg:Def	an
chosúlacht	Noun:Fem:Com:Sg:DefArt	cosúlacht
féin	Pron:Ref	féin
ar	Prep:Simp	ar
an	Art:Sg:Def	an
scéal	Noun:Masc:Com:Sg	scéal
gur	Cop:Pres:Dep	is
amhlaidh	Adv:Gn	amhlaidh
atá	Verb:PresInd:Rel	bí
,	Punct:Int	,
bíonn	Verb:PresImp	bí
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
ina	Prep:Poss:3P:Sg:Masc	i
chosaint	Noun:Fem:Com:Sg:Len	cosaint
ag	Prep:Simp	ag
daoine	Noun:Masc:Com:Pl	duine
-	Punct:Bar	-
más	Conj:Subord:Cop	má
lag	Adj:Base	lag
lúbach	Adj:Base	lúbach
an	Art:Sg:Def	an
chosaint	Noun:Fem:Com:Sg:DefArt	cosaint
in	Prep:Simp	i
amannaí	Noun:Masc:Com:Pl	amanna
é	Pron:Pers:3P:Sg:Masc	é
.	Punct:Fin	.
Ní	Part:Vb:Neg	ní
raibh	Verb:PastInd:Dep:Neg:Len	bí
eolas	Noun:Masc:Com:Sg	eolas
dá	Prep:Poss:3P:Sg:Masc	de
laghad	Noun:Masc:Com:Sg	laghad
ag	Prep:Simp	ag
an	Art:Sg:Def	an
tiománaí	Noun:Masc:Com:Sg:DefArt	tiománaí
cad	Pron:Q	cad
é	Pron:Pers:3P:Sg:Masc	é
mar	Prep:Simp	mar
lasta	Noun:Masc:Com:Sg	lasta
luachmhar	Adj:Masc:Com:Sg	luachmhar
a	Part:Inf	a
bheith	Verbal:Noun:Len	bheith
á	Prep:Poss:3P:Sg:Masc:Obj	do
iompar	Verbal:Noun:VTI	iompar
aige	Pron:Prep:3P:Sg:Masc	ag
.	Punct:Fin	.
Le	Prep:Simp	le
hiarracht	Noun:Fem:Com:Sg:hPref	iarracht
amháin	Adj:Base	amháin
eile	Det:Dem	eile
bhí	Verb:PastInd:Len	bí
Lightbody	Prop:Noun:Masc:Com:Sg	Lightbody
imithe	Verbal:Adj	imithe
trí	Num:Card	trí
shlat	Noun:Fem:Com:Sg:Len	slat
chun	Prep:Simp	chun
tosaigh	Noun:Masc:Gen:Sg	tosach
air	Pron:Prep:3P:Sg:Masc	ar
agus	Conj:Coord	agus
is	Cop:Pres	is
mar	Prep:Simp	mar
sin	Pron:Dem	sin
a	Part:Vb:Rel:Direct	a
chríochnaíodar	Verb:VTI:PastInd:3P:Pl:Len	críochnaigh
,	Punct:Int	,
le	Prep:Simp	le
hamanna	Noun:Masc:Com:Pl:hPref	am
4:12.0	Num:Dig	4:12.0
Léirigh	Verb:VT:PastInd:Len	léirigh
tuairiscí	Noun:Fem:Com:Pl	tuairisc
na	Art:Gen:Sg:Def:Fem	na
bpóilíní	Noun:Masc:Gen:Strong:Pl:DefArt	póilín
imní	Noun:Fem:Com:Sg	imní
faoi	Prep:Simp	faoi
líon	Noun:Masc:Com:Sg	líon
na	Art:Gen:Sg:Def:Fem	na
bhFíníní	Noun:Masc:Gen:Strong:Pl:DefArt	Fínín
sa	Prep:Art:Sg	i
chúige	Noun:Masc:Com:Sg:Len	cúige
agus	Conj:Coord	agus
imní	Noun:Fem:Com:Sg	imní
fosta	Adv:Gn	fosta
faoi	Prep:Simp	faoi
dhánacht	Noun:Fem:Com:Sg:Len	dánacht
na	Art:Gen:Sg:Def:Fem	na
n-iarrachtaí	Noun:Fem:Gen:Strong:Pl:DefArt	iarracht
a	Part:Vb:Rel:Direct	a
dhéanfadh	Verb:VTI:Cond:Len	déan
na	Art:Pl:Def	na
Fíníní	Noun:Masc:Com:Pl:DefArt	Fínín
sin	Det:Dem	sin
chun	Prep:Simp	chun
poblacht	Noun:Fem:Com:Sg	poblacht
a	Part:Inf	a
thabhairt	Verbal:Noun:VTI:Len	tabhairt
i	Prep:Simp	i
gcrích	Noun:Fem:Dat:Sg:Ecl	críoch
.	Punct:Fin	.
Is	Cop:Pres	is
ar	Prep:Simp	ar
éigean	Noun:Masc:Com:Sg	éigean
a	Part:Vb:Rel:Direct	a
bhí	Verb:PastInd:Len	bí
riachtanais	Noun:Masc:Com:Pl	riachtanas
teanga	Noun:Fem:Gen:Sg	teanga
chomh	Adv:Its	chomh
soiléir	Adj:Base	soiléir
riamh	Adv:Gn	riamh
cheana	Adv:Gn	cheana
agus	Conj:Coord	agus
atá	Verb:PresInd:Rel	bí
siad	Pron:Pers:3P:Pl:Sbj	siad
faoi	Prep:Simp	faoi
láthair	Noun:Fem:Com:Sg	láthair
,	Punct:Int	,
agus	Conj:Coord	agus
an	Art:Sg:Def	an
oiread	Subst:Noun:Sg	oiread
sin	Det:Dem	sin
eolais	Noun:Masc:Gen:Sg	eolas
bailithe	Verbal:Adj	bailithe
fúthu	Pron:Prep:3P:Pl	faoi
.	Punct:Fin	.
Thaistil	Verb:VTI:PastInd:Len	taistil
Eoin	Prop:Noun:Masc:Com:Sg	Eoin
ní	Noun:Masc:Com:Sg	ní
ba	Cop:Cond	is
mhó	Adj:Comp	mór
ná	Conj:Coord	ná
pápa	Noun:Masc:Com:Sg	pápa
ar	Prep:Simp	ar
bith	Subst:Noun:Sg	bith
ó	Prep:Simp	ó
aimsir	Noun:Fem:Com:Sg	aimsir
Pio	Prop:Noun:Masc:Com:Sg	Pio
Nono	Prop:Noun:Masc:Com:Sg	Nono
(	Punct	(
Pius	Prop:Noun:Masc:Com:Sg	Pius
IX	Num:Rom	IX
)	Punct	)
ar	Prep:Simp	ar
aghaidh	Noun:Fem:Com:Sg	aghaidh
-	Punct:Bar	-
i	Prep:Simp	i
ngluaisteáin	Noun:Masc:Com:Pl:Ecl	gluaisteán
agus	Conj:Coord	agus
ar	Prep:Simp	ar
thraenacha	Noun:Fem:Com:Pl:Len	traein
.	Punct:Fin	.
(2)	Item	(2)
Faoi	Prep:Simp	faoi
féir	Noun:Masc:Gen:Sg	féar
fho-alt	Noun:Masc:Com:Sg:Len	alt
(3)	Item	(3)
den	Prep:Art:Sg	de
alt	Noun:Masc:Com:Sg:Len	alt
seo	Det:Dem	seo
,	Punct:Int	,
ní	Part:Vb:Neg	ní
bheidh	Verb:FutInd:Neg:Len	bí
aon	Det:Qty:Idf	aon
deontas	Noun:Masc:Com:Sg	deontas
a	Part:Vb:Rel:Direct	a
a	Part:Vb:Rel:Direct	a
thabharfar	Verb:VTI:FutInd:Auto:Len	tabhair
faoin	Prep:Art:Sg	faoi
alt	Noun:Masc:Com:Sg	alt
seo	Det:Dem	seo
do	Prep:Simp	do
dhuine	Noun:Masc:Com:Sg:Len	duine
-	Punct:Bar	-
(a)	Item	(a)
i	Prep:Simp	i
leith	Noun:Fem:Com:Sg	leith
oibreacha	Noun:Fem:Gen:Strong:Pl	obair
den	Prep:Art:Sg	de
chineál	Noun:Masc:Com:Sg:Len	cineál
a	Part:Vb:Rel:Direct	a
shonraítear	Verb:VTI:PresInd:Auto:Len	sonraigh
i	Prep:Simp	i
mír	Noun:Fem:Com:Sg:Ecl	mír
(a)	Item	(a)
,	Punct:Int	,
(c)	Item	(c)
nó	Conj:Coord	nó
(f)	Item	(f)
d'	Prep:Simp	de
fho-alt	Noun:Masc:Com:Sg:Len	alt
(1)	Item	(1)
den	Prep:Art:Sg	de
alt	Noun:Masc:Com:Sg:Len	alt
seo	Det:Dem	seo
níos	Subst:Noun:Sg:Part:Comp	níos
mó	Adj:Base	mó
-	Punct:Bar	-
(i)	Item	(i)
i	Prep:Simp	i
gcás	Noun:Masc:Com:Sg:Ecl	cás
ina	Prep:Rel	i
n-athfhoirgneoidh	Verb:FutInd:FutInd	n-athfhoirgn
an	Art:Sg:Def	an
duine	Noun:Masc:Com:Sg:DefArt	duine
teach	Noun:Masc:Com:Sg	teach
chun	Prep:Simp	chun
é	Pron:Pers:3P:Sg:Masc	é
féin	Pron:Ref	féin
á	Prep:Poss:3P:Sg:Masc:Obj	do
áitiú	Verbal:Noun:Len	áitiú
agus	Conj:Coord	agus
gurb	Cop:Pres:Dep:VF	is
í	Pron:Pers:3P:Sg:Fem	í
an	Art:Sg:Def	an
talmhaíocht	Noun:Fem:Com:Sg	talmhaíocht
go	Part:Ad	go
haonarach	Adj:Base:Pref	aonarach
nó	Conj:Coord	nó
go	Prep:Simp	go
formhór	Noun:Masc:Com:Sg	formhór
a	Det:Poss:3P:Sg:Masc	a
shlí	Noun:Fem:Com:Sg:Len	slí
bheatha	Noun:Fem:Gen:Sg:Len	beatha
agus	Conj:Coord	agus
nach	Cop:Pres:Rel:Neg	is
mó	Adj:Base	mó
ná	Conj:Coord	ná
seasca	Num:Card	seasca
punt	Noun:Masc:Com:Sg	punt
luacháil	Noun:Fem:Com:Sg	luacháil
inrátaithe	Adj:Fem:Com:Sg	inrátaithe
nó	Conj:Coord	nó
comhiomlán	Noun:Masc:Com:Sg	comhiomlán
luachálacha	Noun:Fem:Com:Sg	lacha
inrátaithe	Adj:Fem:Com:Sg	inrátaithe
na	Art:Gen:Sg:Def:Fem	na
talún	Noun:Fem:Gen:Sg:DefArt	talamh
(	Punct	(
más	Conj:Subord:Cop	má
ann	Pron:Prep:3P:Sg:Masc	i
)	Punct	)
agus	Conj:Coord	agus
na	Art:Gen:Sg:Def:Fem	na
bhfoirgneamh	Noun:Masc:Gen:Weak:Pl:DefArt	foirgneamh
a	Part:Vb:Rel:Direct	a
áitíonn	Verb:VTI:PresInd:Len	áitigh
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
,	Punct:Int	,
ná	Conj:Coord	ná
dhá	Num:Card	dó
thrian	Noun:Masc:Com:Sg:Len	trian
den	Prep:Art:Sg	de
mhéid	Noun:Masc:Com:Sg:DefArt	méid
a	Part:Vb:Rel:Direct	a
measfaidh	Verb:VTI:FutInd	meas
an	Art:Sg:Def	an
tAire	Noun:Masc:Com:Sg:DefArt	aire
gurb	Cop:Pres:Dep:VF	is
é	Pron:Pers:3P:Sg:Masc	é
costas	Noun:Masc:Com:Sg	costas
na	Art:Gen:Sg:Def:Fem	na
n-oibreacha	Noun:Fem:Gen:Strong:Pl:Ecl	obair
é	Pron:Pers:3P:Sg:Masc	é
,	Punct:Int	,
agus	Conj:Coord	agus
(ii)	Item	(ii)
in	Prep:Simp	i
aon	Det:Qty:Idf	aon
chás	Noun:Masc:Com:Sg:Len	cás
eile	Det:Dem	eile
,	Punct:Int	,
ná	Conj:Coord	ná
trian	Noun:Masc:Com:Sg	trian
den	Prep:Art:Sg	de
mhéid	Noun:Masc:Com:Sg:DefArt	méid
a	Part:Vb:Rel:Direct	a
measfaidh	Verb:VTI:FutInd	meas
an	Art:Sg:Def	an
tAire	Noun:Masc:Com:Sg:DefArt	aire
gurb	Cop:Pres:Dep:VF	is
é	Pron:Pers:3P:Sg:Masc	é
costas	Noun:Masc:Com:Sg	costas
na	Art:Pl:Def	na
n-oibreacha	Noun:Fem:Gen:Strong:Pl:Ecl	obair
é	Pron:Pers:3P:Sg:Masc	é
,	Punct:Int	,
(b)	Item	(b)
i	Prep:Simp	i
leith	Noun:Fem:Com:Sg	leith
oibreacha	Noun:Fem:Gen:Strong:Pl	obair
den	Prep:Art:Sg	de
chineál	Noun:Masc:Com:Sg:Len	cineál
a	Part:Vb:Rel:Direct	a
shonraítear	Verb:VTI:PresInd:Auto:Len	sonraigh
i	Prep:Simp	i
mír	Noun:Fem:Com:Sg:Ecl	mír
(b)	Item	(b)
d'	Prep:Simp	de
fho-alt	Noun:Masc:Com:Sg:Len	alt
(1)	Item	(1)
den	Prep:Art:Sg	de
alt	Noun:Masc:Com:Sg:Len	alt
seo	Det:Dem	seo
,	Punct:Int	,
ná	Conj:Coord	ná
trian	Noun:Masc:Com:Sg	trian
den	Prep:Art:Sg	de
mhéid	Noun:Masc:Com:Sg:DefArt	méid
a	Part:Vb:Rel:Direct	a
measfaidh	Verb:VTI:FutInd	meas
an	Art:Sg:Def	an
tAire	Noun:Masc:Com:Sg:DefArt	aire
gurb	Cop:Pres:Dep:VF	is
é	Pron:Pers:3P:Sg:Masc	é
costas	Noun:Masc:Com:Sg	costas
na	Art:Gen:Sg:Def:Fem	na
n-oibreacha	Noun:Fem:Gen:Strong:Pl:Ecl	obair
é	Pron:Pers:3P:Sg:Masc	é
,	Punct:Int	,
(c)	Item	(c)
i	Prep:Simp	i
leith	Noun:Fem:Com:Sg	leith
oibreacha	Noun:Fem:Gen:Strong:Pl	obair
den	Prep:Art:Sg	de
chineál	Noun:Masc:Com:Sg:Len	cineál
a	Part:Vb:Rel:Direct	a
shonraítear	Verb:VTI:PresInd:Auto:Len	sonraigh
i	Prep:Simp	i
mír	Noun:Fem:Com:Sg:Ecl	mír
(d)	Item	(d)
d'	Prep:Simp	de
fho-alt	Noun:Masc:Com:Sg:Len	alt
(1)	Item	(1)
den	Prep:Art:Sg	de
alt	Noun:Masc:Com:Sg:DefArt	alt
seo	Det:Dem	seo
,	Punct:Int	,
ná	Conj:Coord	ná
(d)	Item	(d)
i	Prep:Simp	i
leith	Noun:Fem:Com:Sg	leith
oibreacha	Noun:Fem:Gen:Strong:Pl	obair
den	Prep:Art:Sg	de
chineál	Noun:Masc:Com:Sg:Len	cineál
a	Part:Vb:Rel:Direct	a
shonraítear	Verb:VTI:PresInd:Auto:Len	sonraigh
i	Prep:Simp	i
mír	Noun:Fem:Com:Sg:Ecl	mír
(e)	Item	(e)
d'	Prep:Simp	de
fho-alt	Noun:Masc:Com:Sg:Len	alt
(1)	Item	(1)
den	Prep:Art:Sg	de
alt	Noun:Masc:Com:Sg:DefArt	alt
seo	Det:Dem	seo
,	Punct:Int	,
ná	Conj:Coord	ná
(a)	Item	(a)
i	Prep:Simp	i
gcás	Noun:Masc:Com:Sg:Ecl	cás
teach	Noun:Masc:Com:Sg	teach
nach	Part:Vb:Neg:Rel	nach
bhfuil	Verb:PresInd:Dep:Ecl	bí
níos	Subst:Noun:Sg:Part:Comp	níos
mó	Adj:Base	mó
ná	Conj:Coord	ná
trí	Num:Card	trí
sheomra	Noun:Masc:Com:Sg:Len	seomra
ann	Pron:Prep:3P:Sg:Masc	i
,	Punct:Int	,
ná	Conj:Coord	ná
céad	Num:Card	céad
punt	Noun:Masc:Com:Sg	punt
,	Punct:Int	,
(b)	Item	(b)
i	Prep:Simp	i
gcás	Noun:Masc:Com:Sg:Ecl	cás
teach	Noun:Masc:Com:Sg	teach
a	Part:Vb:Rel:Indirect	a
bhfuil	Verb:PresInd:Dep:Ecl	bí
ceithre	Num:Card	ceathair
sheomra	Noun:Masc:Com:Sg:Len	seomra
ann	Pron:Prep:3P:Sg:Masc	i
,	Punct:Int	,
ná	Conj:Coord	ná
céad	Num:Card	céad
is	Conj:Coord	agus
fiche	Num:Card	fiche
punt	Noun:Masc:Com:Sg	punt
,	Punct:Int	,
nó	Conj:Coord	nó
(c)	Item	(c)
i	Prep:Simp	i
gcás	Noun:Masc:Com:Sg:Ecl	cás
teach	Noun:Masc:Com:Sg	teach
a	Part:Vb:Rel:Indirect	a
bhfuil	Verb:PresInd:Dep:Ecl	bí
cúig	Num:Card	cúig
sheomra	Noun:Masc:Com:Sg:Len	seomra
nó	Conj:Coord	nó
níos	Subst:Noun:Sg:Part:Comp	níos
mó	Adj:Base	mó
ann	Pron:Prep:3P:Sg:Masc	i
,	Punct:Int	,
ná	Conj:Coord	ná
céad	Num:Card	céad
is	Conj:Coord	agus
daichead	Num:Card	daichead
punt	Noun:Masc:Com:Sg	punt
.	Punct:Fin	.
'	Punct:Quo	'
Cén	Pron:Q:Art:Sg	cé
diabhal	Noun:Masc:Com:Sg:DefArt	diabhal
útamála	Noun:Fem:Gen:Sg	útamáil
atá	Verb:PresInd:Rel	bí
ar	Prep:Simp	ar
siúl	Verbal:Noun:VTI	siúl
ansin	Adv:Loc	ansin
thíos	Adv:Dir	thíos
?	?	?
Tá	Verb:PresInd	bí
stádas	Noun:Masc:Com:Sg	stádas
faoi	Prep:Simp	faoi
leith	Noun:Fem:Com:Sg	leith
ag	Prep:Simp	ag
an	Art:Sg:Def	an
UDA	Abr	UDA
sa	Prep:Art:Sg	i
tSeanchill	Prop:Noun:Fem:Com:Sg:DefArt	Seanchill
cionn	Noun:Fem:Dat:Sg	ceann
is	Conj:Coord	agus
stair	Noun:Fem:Com:Sg	stair
an	Art:Sg:Def	an
eagrais	Noun:Masc:Gen:Sg:DefArt	eagras
agus	Conj:Coord	agus
cionn	Noun:Fem:Dat:Sg	ceann
is	Conj:Coord	agus
gur	Cop:Past:Dep	is
ansin	Adv:Loc	ansin
is	Part:Sup	is
mó	Adj:Comp	mór
a	Part:Vb:Rel:Direct	a
bunaíodh	Verb:VT:PastInd:Auto	bunaigh
is	Conj:Coord	agus
a	Part:Vb:Rel:Direct	a
buanaíodh	Verb:VT:PastInd:Auto	buanaigh
é	Pron:Pers:3P:Sg:Masc	é
.	Punct:Fin	.
Sa	Prep:Art:Sg	i
Deibhí	Prop:Noun:Masc:Com:Sg	Deibhí
bíonn	Verb:PresImp	bí
seacht	Num:Card	seacht
siolla	Noun:Masc:Com:Sg	siolla
sa	Prep:Art:Sg	i
líne	Noun:Fem:Com:Sg:DefArt	líne
freisin	Adv:Gn	freisin
,	Punct:Int	,
ach	Conj:Subord	ach
bíonn	Verb:PresImp	bí
siolla	Noun:Masc:Com:Sg	siolla
sa	Prep:Art:Sg	i
bhreis	Noun:Fem:Com:Sg:DefArt	breis
i	Prep:Simp	i
bhfocal	Noun:Masc:Com:Sg:Ecl	focal
deireanach	Adj:Masc:Com:Sg	deireanach
b	Item	b
ar	Prep:Simp	ar
a	Item	a
,	Punct:Int	,
agus	Conj:Coord	agus
in	Prep:Simp	i
d	Item	d
ar	Prep:Simp	ar
c	Item	c
.	Punct:Fin	.
An	Art:Sg:Def	an
mhaidin	Noun:Fem:Com:Sg:Def	maidin
dar	Conj:Subord:Cop	dar
gcionn	Noun:Fem:Dat:Sg	ceann
,	Punct:Int	,
dhúisigh	Verb:PastInd:Len	dúisigh
mé	Pron:Pers:1P:Sg	mé
go	Part:Ad	go
tobann	Subst:Noun:Sg	ann
agus	Conj:Coord	agus
d'	Part:Vb	do
amharc	Verb:PastInd:Len	amharc
mé	Pron:Pers:1P:Sg	mé
timpeall	Adv:Dir	timpeall
orm	Pron:Prep:1P:Sg	ar
.	Punct:Fin	.
Anseo	Adv:Loc	anseo
arís	Adv:Gn	arís
tá	Verb:PresInd	bí
dealbh	Noun:Fem:Com:Sg	dealbh
mhór	Adj:Fem:Com:Sg	mór
de	Prep:Simp	de
Mhao	Prop:Noun:Masc:Com:Sg	Mhao
.	Punct:Fin	.
(4)	Item	(4)
D'	Prep:Simp	de
fhonn	Noun:Masc:Com:Sg:Len	fonn
amhras	Noun:Masc:Com:Sg	amhras
a	Part:Inf	a
sheachaint	Verbal:Noun:VTI:Len	seachaint
,	Punct:Int	,
aon	Det:Qty:Idf	aon
achtachán	Noun:Masc:Com:Sg	achtachán
a	Part:Vb:Rel:Indirect	a
ndéantar	Verb:VTI:PresInd:Auto:Ecl	déan
leasú	Verbal:Noun:VTI	leasú
air	Pron:Prep:3P:Sg:Masc	ar
le	Prep:Simp	le
halt	Noun:Masc:Com:Sg:hPref	alt
den	Prep:Art:Sg	de
Acht	Noun:Masc:Com:Sg	acht
seo	Det:Dem	seo
a	Part:Vb:Rel:Direct	a
scoireann	Verb:VTI:PresInd	scoir
de	Prep:Simp	de
bheith	Verbal:Noun:VI:Len	bheith
i	Prep:Simp	i
ngníomh	Noun:Masc:Com:Sg:Ecl	gníomh
amhail	Conj:Subord	amhail
ar	Prep:Simp	ar
an	Art:Sg:Def	an
agus	Conj:Coord	agus
ón	Prep:Art:Sg	ó
lá	Noun:Masc:Com:Sg	lá
dá	Conj:Subord	dá
dtagraítear	Verb:VTI:PresInd:Auto:Ecl	tagair
i	Prep:Simp	i
bhfo-alt	Noun:Masc:Com:Sg:Ecl	fo-alt
(1)	Item	(1)
nó	Conj:Coord	nó
,	Punct:Int	,
de	Prep:Simp	de
réir	Noun:Fem:Com:Sg:Len	réir
mar	Conj:Subord	mar
a	Part:Vb:Rel:Direct	a
bheidh	Verb:VI:FutInd:Len	bí
,	Punct:Int	,
amhail	Conj:Subord	amhail
ar	Prep:Simp	ar
agus	Conj:Coord	agus
ó	Prep:Simp	ó
dháta	Noun:Masc:Com:Sg:Len	dáta
éagtha	Verbal:Noun:VI:Gen:Corr	éag
na	Art:Gen:Sg:Def:Fem	na
tréimhse	Noun:Fem:Gen:Sg:DefArt	tréimhse
ar	Cop:Pres:Dep	is
lena	Prep:Poss:3P:Sg:Masc	le
linn	Noun:Fem:Com:Sg	linn
a	Part:Vb:Rel:Direct	a
choimeádfar	Verb:VTI:FutInd:Auto:Len	coimeád
i	Prep:Simp	i
ngníomh	Noun:Masc:Com:Sg:Ecl	gníomh
é	Pron:Pers:3P:Sg:Masc	é
faoi	Prep:Simp	faoi
fho-alt	Noun:Masc:Com:Sg:Len	fo-alt
(2)	Item	(2)
(	Punct	(
'	Punct:Quo	'
an	Art:Sg:Def	an
t-éag	Noun:Masc:Com:Sg:DefArt	éag
'	Punct:Quo	'
)	Punct	)
,	Punct:Int	,
beidh	Verb:VI:FutInd	bí
feidhm	Noun:Fem:Com:Sg	feidhm
aige	Pron:Prep:3P:Sg:Masc	ag
agus	Conj:Coord	agus
beidh	Verb:VI:FutInd	bí
éifeacht	Noun:Fem:Com:Sg	éifeacht
leis	Pron:Prep:3P:Sg:Masc	le
amhail	Conj:Subord	amhail
ar	Prep:Simp	ar
an	Art:Sg:Def	an
agus	Conj:Coord	agus
ón	Prep:Art:Sg	ó
lá	Noun:Masc:Com:Sg	lá
sin	Det:Dem	sin
nó	Conj:Coord	nó
,	Punct:Int	,
de	Prep:Simp	de
réir	Noun:Fem:Com:Sg:Len	réir
mar	Conj:Subord	mar
a	Part:Vb:Rel:Direct	a
bheidh	Verb:VI:FutInd:Len	bí
,	Punct:Int	,
amhail	Conj:Subord	amhail
ar	Prep:Simp	ar
an	Art:Sg:Def	an
agus	Conj:Coord	agus
ón	Prep:Art:Sg	ó
éag	Noun:Masc:Com:Sg	éag
,	Punct:Int	,
mar	Conj:Subord	mar
a	Part:Vb:Rel:Direct	a
bhí	Verb:VI:PastInd:Len	bí
feidhm	Noun:Fem:Com:Sg	feidhm
aige	Pron:Prep:3P:Sg:Masc	ag
agus	Conj:Coord	agus
éifeacht	Noun:Fem:Com:Sg	éifeacht
leis	Pron:Prep:3P:Sg:Masc	le
díreach	Noun:Masc:Com:Sg	díreach
roimh	Prep:Simp	roimh
dháta	Noun:Masc:Com:Sg:Len	dáta
an	Art:Sg:Def	an
Achta	Noun:Masc:Gen:Sg:DefArt	acht
seo	Det:Dem	seo
a	Part:Vb:Rel:Direct	a
rith	Verb:VTI:PastInd:Len	rith
ach	Conj:Subord	ach
sin	Pron:Dem	sin
faoi	Prep:Simp	faoi
réir	Noun:Fem:Com:Sg	réir
aon	Det:Qty:Idf	aon
leasuithe	Noun:Masc:Com:Pl	leasú
a	Part:Vb:Rel:Direct	a
dhéanfar	Verb:VTI:FutInd:Auto:Len	déan
le	Prep:Simp	le
haon	Det:Qty:Idf:hPref	aon
Acht	Noun:Masc:Com:Sg	acht
eile	Det:Dem	eile
den	Prep:Art:Sg	de
Oireachtas	Noun:Masc:Com:Sg	oireachtas
tar	Verb:VI:Imperf:2P:Sg	tar
éis	Subst:Noun:Sg	éis
an	Art:Sg:Def	an
dáta	Noun:Masc:Com:Sg	dáta
rite	Adj:Base	rite
